id,date,timeofday,LON,LAT,"activity 1=not morving, 2=walking, 3=running, 4=biking, 6=skateboarding","direction 1=n, 2=s, 3=e, 4=w, 5=sw, 6=se, 7=nw, 8=ne","withmask 0=no, 1=yes","nomaskimpr 0=no mask or mask but incorrect, 1=mask and correct","maskreason 1=nose exposed, 2=nose and mouth exposed","maskother 1=exhalation valve or vent, 2=on forehead, 3=around neck, 4=touched mask, 5=<2 years of age, 6=in hand, 7=hanging on ear","socialdist 0=no, 1=yes","agegroup 1=<18, 2=18-30, 3=31-55, 4=>55","white 0=not white, 1=white","sex 1=male, 2=female","smoking 0= not smoking, 1=smoking","obese 0=not overweight/obese, 1=overweight/obese","touchsurface 0=no, 1=yes","surfacetype 1=trash can, 2=parking meter, 3=door handle, 4=railing, 5=auto, 6=building, 7=other, 8=bench, 9=phone, 11=tools, 12=table","Etiquette1 0=no hands to head, 1= hands to head"
6/7/1900,9/3/2020,112739,39.683665,-75.7537,1,0,1,1,0,0,1,2,1,2,0,1,0,0,0
6/8/1900,9/3/2020,112814,39.683443,-75.7525,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0
6/9/1900,9/3/2020,112814,39.68344,-75.7526,1,0,0,0,0,0,0,4,1,1,0,1,0,0,0
6/10/1900,9/3/2020,112814,39.68344,-75.7526,1,0,0,0,0,0,0,3,1,1,0,1,0,0,0
6/11/1900,9/3/2020,112819,39.683605,-75.7525,1,0,1,1,0,0,0,2,1,2,0,0,0,0,0
6/12/1900,9/3/2020,112819,39.683616,-75.7525,1,0,1,1,0,0,0,2,1,1,0,0,0,0,0
6/13/1900,9/3/2020,112844,39.683963,-75.7525,2,2,1,1,0,0,0,2,1,2,0,0,0,0,0
6/14/1900,9/3/2020,112844,39.683962,-75.7525,2,2,1,1,0,0,0,2,1,2,0,1,0,0,0
6/15/1900,9/3/2020,112909,39.684005,-75.7527,2,8,1,0,2,3,0,2,1,1,0,0,0,0,0
6/16/1900,9/3/2020,112909,39.684012,-75.7527,2,8,1,0,2,3,0,2,1,1,0,0,0,0,0
6/17/1900,9/3/2020,113000,39.684322,-75.7537,1,0,9,9,9,9,1,2,1,1,0,0,0,0,0
6/18/1900,9/3/2020,113023,39.684224,-75.7543,3,2,1,1,0,0,1,2,1,2,0,0,0,0,0
6/19/1900,9/3/2020,113034,39.684555,-75.7541,2,6,0,0,0,0,1,2,1,2,0,1,0,0,1
6/20/1900,9/3/2020,113049,39.684729,-75.7544,2,1,1,1,0,0,1,2,0,2,0,0,0,0,0
6/21/1900,9/3/2020,113107,39.684813,-75.7544,2,2,1,0,2,3,1,2,1,1,0,0,0,0,0
6/22/1900,9/3/2020,113139,39.685792,-75.7545,4,2,1,1,0,0,1,2,1,9,9,9,0,0,0
6/23/1900,9/3/2020,113139,39.68573,-75.7545,4,2,1,1,0,0,1,2,1,9,9,9,0,0,0
6/24/1900,9/3/2020,113140,39.685741,-75.7545,2,2,1,0,2,3,1,2,1,1,0,0,0,0,0
6/25/1900,9/3/2020,113142,39.685715,-75.7547,2,3,1,1,0,0,1,2,0,1,0,0,0,0,0
6/26/1900,9/3/2020,113325,39.685843,-75.7545,1,0,0,0,0,0,0,2,1,2,0,9,0,0,0
6/27/1900,9/3/2020,113325,39.68585,-75.7545,1,0,1,0,2,3,0,2,1,2,0,0,0,0,0
6/28/1900,9/3/2020,113325,39.685857,-75.7545,4,2,0,0,0,0,0,2,1,1,0,0,0,0,0
6/29/1900,9/3/2020,113325,39.685855,-75.7544,2,2,0,0,0,0,0,2,1,2,0,0,0,0,0
6/30/1900,9/3/2020,113325,39.685858,-75.7544,2,2,0,0,0,0,0,2,1,2,0,0,0,0,0
7/1/1900,9/3/2020,113341,39.68614,-75.7544,2,2,0,0,0,0,0,2,1,2,0,0,0,0,0
7/2/1900,9/3/2020,113341,39.686141,-75.7544,2,2,0,0,0,0,0,2,1,2,0,0,0,0,0
7/3/1900,9/3/2020,113349,39.686619,-75.7546,2,2,1,0,2,6,1,2,1,2,0,0,0,0,0
7/4/1900,9/3/2020,113349,39.686621,-75.7545,2,2,1,0,2,6,1,2,1,1,0,0,0,0,0
7/5/1900,9/3/2020,113409,39.687173,-75.7548,2,6,1,1,0,0,0,2,1,1,0,1,0,0,0
7/6/1900,9/3/2020,113409,39.687182,-75.7548,2,6,0,0,0,0,0,2,1,1,0,0,0,0,0
7/7/1900,9/3/2020,113423,39.687238,-75.7548,2,6,1,1,0,0,1,2,1,2,0,0,0,0,0
7/8/1900,9/3/2020,113447,39.688217,-75.7556,2,6,1,1,0,0,1,2,1,1,0,0,0,0,0
7/9/1900,9/3/2020,113454,39.688441,-75.7558,2,6,1,1,0,0,0,3,0,2,0,1,0,0,0
7/10/1900,9/3/2020,113454,39.688447,-75.7558,2,6,1,0,2,3,0,3,1,2,0,1,0,0,0
7/11/1900,9/3/2020,113502,39.688689,-75.7561,2,6,1,1,0,0,0,2,1,2,0,0,0,0,0
7/12/1900,9/3/2020,113502,39.688696,-75.756,2,6,1,1,0,0,0,2,1,1,0,0,0,0,0
